candidate_index	source_name	task_index	context	family	order_index	design_nll	chain_a_nll	chain_b_nll	chain_c_nll	chain_d_nll	chain_spread
24	OVA-C4-IPTM90-015	7	ova073_rosetta_bb4	OVA073_ROSETTA	3	1.064895749092102	0.9233202338218689	1.157106637954712	1.11149001121521	1.0676662921905518	0.23378640413284302
25	OVA-C4-IPTM90-260	7	ova073_rosetta_bb4	OVA073_ROSETTA	0	1.1169917583465576	1.1269419193267822	1.1182438135147095	1.0806889533996582	1.1420924663543701	0.061403512954711914
25	OVA-C4-IPTM90-260	7	ova073_rosetta_bb4	OVA073_ROSETTA	1	1.108223557472229	1.1700010299682617	1.022779107093811	1.0224535465240479	1.2176605463027954	0.19520699977874756
25	OVA-C4-IPTM90-260	7	ova073_rosetta_bb4	OVA073_ROSETTA	2	1.1194466352462769	1.1285276412963867	1.0468499660491943	1.182249903678894	1.1201590299606323	0.1353999376296997
25	OVA-C4-IPTM90-260	7	ova073_rosetta_bb4	OVA073_ROSETTA	3	1.1195347309112549	1.0365138053894043	1.2424424886703491	1.1255990266799927	1.0735840797424316	0.20592868328094482
26	OVA-C4-IPTM90-378	7	ova073_rosetta_bb4	OVA073_ROSETTA	0	1.1076953411102295	1.0791314840316772	1.0582085847854614	1.1306804418563843	1.162760853767395	0.1045522689819336
26	OVA-C4-IPTM90-378	7	ova073_rosetta_bb4	OVA073_ROSETTA	1	1.0859384536743164	1.1657804250717163	1.0420217514038086	0.9749244451522827	1.1610273122787476	0.1908559799194336
26	OVA-C4-IPTM90-378	7	ova073_rosetta_bb4	OVA073_ROSETTA	2	1.1184720993041992	1.1505569219589233	0.9819974899291992	1.1701563596725464	1.1711772680282593	0.18917977809906006
26	OVA-C4-IPTM90-378	7	ova073_rosetta_bb4	OVA073_ROSETTA	3	1.096327781677246	1.0318876504898071	1.1892868280410767	1.0989243984222412	1.0652122497558594	0.15739917755126953
27	OVA-C4-IPTM90-479	7	ova073_rosetta_bb4	OVA073_ROSETTA	0	1.147480845451355	1.1684238910675049	1.1480731964111328	1.1085284948349	1.1648982763290405	0.05989539623260498
27	OVA-C4-IPTM90-479	7	ova073_rosetta_bb4	OVA073_ROSETTA	1	1.1285514831542969	1.192166805267334	1.04556143283844	1.02676522731781	1.2497122287750244	0.22294700145721436
27	OVA-C4-IPTM90-479	7	ova073_rosetta_bb4	OVA073_ROSETTA	2	1.1468729972839355	1.1753307580947876	1.0532944202423096	1.2068790197372437	1.151987910270691	0.15358459949493408
27	OVA-C4-IPTM90-479	7	ova073_rosetta_bb4	OVA073_ROSETTA	3	1.1097954511642456	0.9462277293205261	1.2335149049758911	1.1650103330612183	1.0944288969039917	0.287287175655365
28	OVA-C4-IPTM90-484	7	ova073_rosetta_bb4	OVA073_ROSETTA	0	1.0622416734695435	1.0053707361221313	1.0141427516937256	1.0892322063446045	1.1402212381362915	0.13485050201416016
28	OVA-C4-IPTM90-484	7	ova073_rosetta_bb4	OVA073_ROSETTA	1	1.0382421016693115	1.1271138191223145	1.0078182220458984	0.9143111705780029	1.103725552558899	0.21280264854431152
28	OVA-C4-IPTM90-484	7	ova073_rosetta_bb4	OVA073_ROSETTA	2	1.0697487592697144	1.0915981531143188	0.9304237961769104	1.1089738607406616	1.1479989290237427	0.21757513284683228
28	OVA-C4-IPTM90-484	7	ova073_rosetta_bb4	OVA073_ROSETTA	3	1.006474256515503	0.8812755942344666	1.106010913848877	1.0212247371673584	1.0173860788345337	0.2247353196144104
