source	chain_pair	category	unique_residue_pair_types	atom_level_events
OVA-C4-IPTM80-20D__Protenix	A-D	HydrogenBond	5	7
OVA-C4-IPTM80-20D__Protenix	A-D	SaltBridge	2	2
OVA-C4-IPTM80-20D__Protenix	A-D	PiStacking	0	0
OVA-C4-IPTM80-20D__Protenix	A-D	CationPi	0	0
OVA-C4-IPTM80-20D__Protenix	A-D	VdWContact	33	169
OVA-C4-IPTM80-20D__Protenix	B-C	Hydrophobic	14	25
OVA-C4-IPTM80-20D__Protenix	B-C	HydrogenBond	5	5
OVA-C4-IPTM80-20D__Protenix	B-C	SaltBridge	2	2
OVA-C4-IPTM80-20D__Protenix	B-C	PiStacking	0	0
OVA-C4-IPTM80-20D__Protenix	B-C	CationPi	0	0
OVA-C4-IPTM80-20D__Protenix	B-C	VdWContact	35	176
OVA-C4-IPTM80-20D__Protenix	B-D	Hydrophobic	0	0
OVA-C4-IPTM80-20D__Protenix	B-D	HydrogenBond	0	0
OVA-C4-IPTM80-20D__Protenix	B-D	SaltBridge	2	2
OVA-C4-IPTM80-20D__Protenix	B-D	PiStacking	0	0
OVA-C4-IPTM80-20D__Protenix	B-D	CationPi	0	0
OVA-C4-IPTM80-20D__Protenix	B-D	VdWContact	2	18
OVA-C4-IPTM80-20D__Protenix	C-D	Hydrophobic	5	13
OVA-C4-IPTM80-20D__Protenix	C-D	HydrogenBond	0	0
OVA-C4-IPTM80-20D__Protenix	C-D	SaltBridge	0	0
OVA-C4-IPTM80-20D__Protenix	C-D	PiStacking	2	2
OVA-C4-IPTM80-20D__Protenix	C-D	CationPi	0	0
OVA-C4-IPTM80-20D__Protenix	C-D	VdWContact	15	81
OVA-C4-IPTM80-21E__AF3	A-B	Hydrophobic	3	34
OVA-C4-IPTM80-21E__AF3	A-B	HydrogenBond	0	0
OVA-C4-IPTM80-21E__AF3	A-B	SaltBridge	0	0
OVA-C4-IPTM80-21E__AF3	A-B	PiStacking	0	0
OVA-C4-IPTM80-21E__AF3	A-B	CationPi	0	0
OVA-C4-IPTM80-21E__AF3	A-B	VdWContact	4	34
OVA-C4-IPTM80-21E__AF3	A-C	Hydrophobic	10	16
OVA-C4-IPTM80-21E__AF3	A-C	HydrogenBond	4	5
OVA-C4-IPTM80-21E__AF3	A-C	SaltBridge	2	4
OVA-C4-IPTM80-21E__AF3	A-C	PiStacking	0	0
OVA-C4-IPTM80-21E__AF3	A-C	CationPi	0	0
OVA-C4-IPTM80-21E__AF3	A-C	VdWContact	19	46
OVA-C4-IPTM80-21E__AF3	A-D	Hydrophobic	8	14
OVA-C4-IPTM80-21E__AF3	A-D	HydrogenBond	2	2
OVA-C4-IPTM80-21E__AF3	A-D	SaltBridge	0	0
OVA-C4-IPTM80-21E__AF3	A-D	PiStacking	0	0
OVA-C4-IPTM80-21E__AF3	A-D	CationPi	0	0
OVA-C4-IPTM80-21E__AF3	A-D	VdWContact	11	26
OVA-C4-IPTM80-21E__AF3	B-C	Hydrophobic	8	14
OVA-C4-IPTM80-21E__AF3	B-C	HydrogenBond	2	2
OVA-C4-IPTM80-21E__AF3	B-C	SaltBridge	0	0
OVA-C4-IPTM80-21E__AF3	B-C	PiStacking	0	0
OVA-C4-IPTM80-21E__AF3	B-C	CationPi	0	0
OVA-C4-IPTM80-21E__AF3	B-C	VdWContact	10	25
OVA-C4-IPTM80-21E__AF3	B-D	Hydrophobic	10	16
OVA-C4-IPTM80-21E__AF3	B-D	HydrogenBond	4	5
OVA-C4-IPTM80-21E__AF3	B-D	SaltBridge	2	4
OVA-C4-IPTM80-21E__AF3	B-D	PiStacking	0	0
OVA-C4-IPTM80-21E__AF3	B-D	CationPi	0	0
OVA-C4-IPTM80-21E__AF3	B-D	VdWContact	17	48
OVA-C4-IPTM80-21E__AF3	C-D	Hydrophobic	3	35
OVA-C4-IPTM80-21E__AF3	C-D	HydrogenBond	0	0
OVA-C4-IPTM80-21E__AF3	C-D	SaltBridge	0	0
OVA-C4-IPTM80-21E__AF3	C-D	PiStacking	0	0
OVA-C4-IPTM80-21E__AF3	C-D	CationPi	0	0
OVA-C4-IPTM80-21E__AF3	C-D	VdWContact	4	48
OVA-C4-IPTM80-21E__Protenix	A-B	Hydrophobic	0	0
OVA-C4-IPTM80-21E__Protenix	A-B	HydrogenBond	2	2
OVA-C4-IPTM80-21E__Protenix	A-B	SaltBridge	2	4
OVA-C4-IPTM80-21E__Protenix	A-B	PiStacking	0	0
OVA-C4-IPTM80-21E__Protenix	A-B	CationPi	0	0
OVA-C4-IPTM80-21E__Protenix	A-B	VdWContact	2	6
OVA-C4-IPTM80-21E__Protenix	A-C	Hydrophobic	7	9
OVA-C4-IPTM80-21E__Protenix	A-C	HydrogenBond	1	1
OVA-C4-IPTM80-21E__Protenix	A-C	SaltBridge	0	0
OVA-C4-IPTM80-21E__Protenix	A-C	PiStacking	2	2
OVA-C4-IPTM80-21E__Protenix	A-C	CationPi	0	0
OVA-C4-IPTM80-21E__Protenix	A-C	VdWContact	17	86
OVA-C4-IPTM80-21E__Protenix	A-D	Hydrophobic	9	13
OVA-C4-IPTM80-21E__Protenix	A-D	HydrogenBond	2	2
